1,0,0,11111
2,0,10,11111
3,0,20,11111
4,0,30,11111
5,0,40,11111
6,0,50,11111
7,0,60,11111
8,0,70,11111
9,0,80,11111
10,0,90,11111
11,10,0,11111
12,10,10,11111
13,10,20,11111
14,10,30,11111
15,10,40,11111
16,10,50,11111
17,10,60,11111
18,10,70,11111
19,10,80,11111
20,10,90,11111
21,20,0,11111
22,20,10,11111
23,20,20,11111
24,20,30,11111
25,20,40,11111
26,20,50,11111
27,20,60,11111
28,20,70,11111
29,20,80,11111
30,20,90,11111
31,30,0,11111
32,30,10,11111
33,30,20,11111
34,30,30,11111
35,30,40,11111
36,30,50,11111
37,30,60,11111
38,30,70,11111
39,30,80,11111
40,30,90,11111
41,40,0,11111
42,40,10,11111
43,40,20,11111
44,40,30,11111
45,40,40,11111
46,40,50,11111
47,40,60,11111
48,40,70,11111
49,40,80,11111
50,40,90,11111
51,50,0,11111
52,50,10,11111
53,50,20,11111
54,50,30,11111
55,50,40,11111
56,50,50,11111
57,50,60,11111
58,50,70,11111
59,50,80,11111
60,50,90,11111
61,60,0,11111
62,60,10,11111
63,60,20,11111
64,60,30,11111
65,60,40,11111
66,60,50,11111
67,60,60,11111
68,60,70,11111
69,60,80,11111
70,60,90,11111
71,70,0,11111
72,70,10,11111
73,70,20,11111
74,70,30,11111
75,70,40,11111
76,70,50,11111
77,70,60,11111
78,70,70,11111
79,70,80,11111
80,70,90,11111
81,80,0,11111
82,80,10,11111
83,80,20,11111
84,80,30,11111
85,80,40,11111
86,80,50,11111
87,80,60,11111
88,80,70,11111
89,80,80,11111
90,80,90,11111
91,90,0,11111
92,90,10,11111
93,90,20,11111
94,90,30,11111
95,90,40,11111
96,90,50,11111
97,90,60,11111
98,90,70,11111
99,90,80,11111
100,90,90,11111
