1,0,0,1111111
2,0,10,1111111
3,0,20,1111111
4,0,30,1111111
5,0,40,1111111
6,0,50,1111111
7,0,60,1111111
8,0,70,1111111
9,0,80,1111111
10,0,90,1111111
11,10,0,1111111
12,10,10,1111111
13,10,20,1111111
14,10,30,1111111
15,10,40,1111111
16,10,50,1111111
17,10,60,1111111
18,10,70,1111111
19,10,80,1111111
20,10,90,1111111
21,20,0,1111111
22,20,10,1111111
23,20,20,1111111
24,20,30,1111111
25,20,40,1111111
26,20,50,1111111
27,20,60,1111111
28,20,70,1111111
29,20,80,1111111
30,20,90,1111111
31,30,0,1111111
32,30,10,1111111
33,30,20,1111111
34,30,30,1111111
35,30,40,1111111
36,30,50,1111111
37,30,60,1111111
38,30,70,1111111
39,30,80,1111111
40,30,90,1111111
41,40,0,1111111
42,40,10,1111111
43,40,20,1111111
44,40,30,1111111
45,40,40,1111111
46,40,50,1111111
47,40,60,1111111
48,40,70,1111111
49,40,80,1111111
50,40,90,1111111
51,50,0,1111111
52,50,10,1111111
53,50,20,1111111
54,50,30,1111111
55,50,40,1111111
56,50,50,1111111
57,50,60,1111111
58,50,70,1111111
59,50,80,1111111
60,50,90,1111111
61,60,0,1111111
62,60,10,1111111
63,60,20,1111111
64,60,30,1111111
65,60,40,1111111
66,60,50,1111111
67,60,60,1111111
68,60,70,1111111
69,60,80,1111111
70,60,90,1111111
71,70,0,1111111
72,70,10,1111111
73,70,20,1111111
74,70,30,1111111
75,70,40,1111111
76,70,50,1111111
77,70,60,1111111
78,70,70,1111111
79,70,80,1111111
80,70,90,1111111
81,80,0,1111111
82,80,10,1111111
83,80,20,1111111
84,80,30,1111111
85,80,40,1111111
86,80,50,1111111
87,80,60,1111111
88,80,70,1111111
89,80,80,1111111
90,80,90,1111111
91,90,0,1111111
92,90,10,1111111
93,90,20,1111111
94,90,30,1111111
95,90,40,1111111
96,90,50,1111111
97,90,60,1111111
98,90,70,1111111
99,90,80,1111111
100,90,90,1111111
